device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
24494995980;(0.7006688117980957, 0.23577722907066345, 0.531808078289032);(-89.78131103515625, 91.79776763916016, 653.406982421875);1;(6.767214775085449, 186.92359924316406, 59.9887580871582);(0.5112617611885071, 0.4645814001560211);1;2.861358642578125;1;(0.5608807802200317, 0.2215171754360199, 0.5358067750930786);(-25.97108268737793, 98.45547485351562, 660.09619140625);1;(-16.39835548400879, 197.549560546875, 63.85627746582031);(0.4727102816104889, 0.43112680315971375);1;2.86944580078125;1;631873177284;(0.5, 0.5)
24495007083;(0.7006146311759949, 0.23579970002174377, 0.5318577885627747);(-89.76029968261719, 91.79432678222656, 653.4356689453125);1;(8.906769752502441, 186.3520965576172, 59.78074645996094);(0.5148223638534546, 0.4663807153701782);1;2.8689422607421875;1;(0.560823380947113, 0.22157485783100128, 0.5358437299728394);(-25.945100784301758, 98.43899536132812, 660.1183471679688);1;(-16.562780380249023, 198.15916442871094, 64.07815551757812);(0.47243669629096985, 0.42920756340026855);1;2.866607666015625;1;631873188387;(0.5, 0.5)
24495018186;(0.7005443572998047, 0.2358984798192978, 0.5319017171859741);(-89.7318344116211, 91.76494598388672, 653.4661254882812);1;(9.20772933959961, 185.02212524414062, 59.29665756225586);(0.5153232216835022, 0.47056806087493896);1;2.891754150390625;1;(0.560784101486206, 0.22162732481956482, 0.5358628034591675);(-25.927188873291016, 98.42284393310547, 660.131103515625);1;(-15.647974967956543, 198.42852783203125, 64.17621612548828);(0.4739590883255005, 0.4283595085144043);1;2.8638153076171875;1;631873199484;(0.5, 0.5)
24495029289;(0.7005600333213806, 0.23589742183685303, 0.5319222211837769);(-89.74028015136719, 91.76648712158203, 653.4751586914062);1;(8.428486824035645, 184.7857208251953, 59.21061325073242);(0.514026403427124, 0.47131237387657166);1;2.8932037353515625;1;(0.5608503222465515, 0.22161224484443665, 0.5358908772468567);(-25.958417892456055, 98.42953491210938, 660.14306640625);1;(-13.820982933044434, 198.79776000976562, 64.31063842773438);(0.476999431848526, 0.4271969199180603);1;2.86083984375;1;631873210581;(0.5, 0.5)
24495040392;(0.7006608247756958, 0.23587049543857574, 0.5321528315544128);(-89.80115509033203, 91.79009246826172, 653.5809936523438);1;(8.479158401489258, 185.29237365722656, 59.39501953125);(0.5141107439994812, 0.46971723437309265);1;2.8887939453125;1;(0.560944139957428, 0.22153344750404358, 0.5360965728759766);(-26.00600242614746, 98.47078704833984, 660.2391357421875);1;(-14.197908401489258, 196.61141967773438, 63.51487731933594);(0.47637221217155457, 0.43408045172691345);1;2.8687591552734375;1;631873221677;(0.5, 0.5)
24495051495;(0.7010242938995361, 0.23568759858608246, 0.532472550868988);(-89.98605346679688, 91.86897277832031, 653.7073974609375);1;(9.119497299194336, 184.31492614746094, 59.039276123046875);(0.5151764154434204, 0.47279465198516846);1;2.890899658203125;1;(0.5612168312072754, 0.22129787504673004, 0.5363652110099792);(-26.13800811767578, 98.56871795654297, 660.355224609375);1;(-15.59924030303955, 196.10540771484375, 63.33070373535156);(0.4740402400493622, 0.4356735050678253);1;2.8687896728515625;1;631873232771;(0.5, 0.5)
24495062599;(0.7011517286300659, 0.23562170565128326, 0.532514750957489);(-90.04615783691406, 91.89239501953125, 653.7173461914062);1;(10.263028144836426, 182.3259735107422, 58.31535339355469);(0.5170794129371643, 0.4790567457675934);1;2.90472412109375;1;(0.5614250302314758, 0.22111596167087555, 0.5364397168159485);(-26.236276626586914, 98.63453674316406, 660.379150390625);1;(-17.03251838684082, 195.28050231933594, 63.030426025390625);(0.4716549515724182, 0.43827059864997864);1;2.8651275634765625;1;631873243870;(0.5, 0.5)
24495073702;(0.7014442682266235, 0.23547637462615967, 0.5325756669044495);(-90.18172454833984, 91.94169616699219, 653.7227783203125);1;(9.707091331481934, 180.6159210205078, 57.69294738769531);(0.5161542892456055, 0.48444071412086487);1;2.903900146484375;1;(0.5617190003395081, 0.22092001140117645, 0.5365103483200073);(-26.374191284179688, 98.70419311523438, 660.3990478515625);1;(-16.398696899414062, 197.025390625, 63.6655158996582);(0.4727098047733307, 0.4327771067619324);1;2.8597412109375;1;631873254971;(0.5, 0.5)
24495084805;(0.7021712064743042, 0.23517750203609467, 0.5327172875404358);(-90.51809692382812, 92.04247283935547, 653.7342529296875);1;(9.241060256958008, 179.52671813964844, 57.296512603759766);(0.5153787136077881, 0.48786991834640503);1;2.889495849609375;1;(0.5623558759689331, 0.2204962521791458, 0.5366414785385132);(-26.67263412475586, 98.85321044921875, 660.4310913085938);1;(-15.315926551818848, 195.66232299804688, 63.16936492919922);(0.47451168298721313, 0.4370686113834381);1;2.8553619384765625;1;631873266071;(0.5, 0.5)
24495095908;(0.7023722529411316, 0.2351047694683075, 0.5327404737472534);(-90.61004638671875, 92.06587219238281, 653.7300415039062);1;(7.569116592407227, 183.58050537109375, 58.77197265625);(0.5125962495803833, 0.47510695457458496);1;2.890106201171875;1;(0.5627292394638062, 0.22027185559272766, 0.5367011427879333);(-26.847179412841797, 98.93110656738281, 660.4425659179688);1;(-14.868138313293457, 195.0173797607422, 62.93464660644531);(0.47525689005851746, 0.43909910321235657);1;2.86541748046875;1;631873277172;(0.5, 0.5)
24495107011;(0.7027789354324341, 0.23497121036052704, 0.5326532125473022);(-90.78695678710938, 92.099365234375, 653.6563110351562);1;(5.95235538482666, 184.2842559814453, 59.02812194824219);(0.5099057555198669, 0.47289130091667175);1;2.9005889892578125;1;(0.5631172060966492, 0.22003889083862305, 0.5366247296333313);(-27.025787353515625, 99.00171661376953, 660.3860473632812);1;(-14.461663246154785, 194.3582763671875, 62.69474792480469);(0.475933313369751, 0.441174179315567);1;2.867706298828125;1;631873288273;(0.5, 0.5)
