device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
25294233954;(0.6279033422470093, 0.3078835606575012, 0.4796532094478607);(-54.45926284790039, 65.35848999023438, 634.1455078125);1;(26.61569595336914, 202.20809936523438, 65.55186462402344);(0.5442930459976196, 0.4164597988128662);1;2.6195068359375;1;(0.4762324094772339, 0.30748265981674194, 0.48019275069236755);(13.126870155334473, 66.51087951660156, 636.4961547851562);1;(26.502965927124023, 195.36920166015625, 63.06269073486328);(0.5441054105758667, 0.43799132108688354);1;2.5537261962890625;1;632672424727;(0.5, 0.5)
25294245058;(0.6279332041740417, 0.30786171555519104, 0.47948595881462097);(-54.46539306640625, 65.3569107055664, 634.060791015625);1;(30.267013549804688, 201.54095458984375, 65.30905151367188);(0.5503694415092468, 0.41856011748313904);1;2.6127166748046875;1;(0.4762566089630127, 0.3074534833431244, 0.4800051152706146);(13.114004135131836, 66.5107192993164, 636.402099609375);1;(19.780075073242188, 199.12619018554688, 64.43014526367188);(0.5329174399375916, 0.4261627793312073);1;2.4986572265625;1;632672435831;(0.5, 0.5)
25294256161;(0.6279342174530029, 0.307858407497406, 0.4792286455631256);(-54.45489501953125, 65.34484100341797, 633.93310546875);1;(29.609786987304688, 201.82955932617188, 65.41409301757812);(0.5492757558822632, 0.41765153408050537);1;2.6046142578125;1;(0.47626543045043945, 0.3074401617050171, 0.4797740578651428);(13.107624053955078, 66.50309753417969, 636.2868041992188);1;(19.538387298583984, 199.19662475585938, 64.45578002929688);(0.5325151681900024, 0.4259410798549652);1;2.485443115234375;1;632672446941;(0.5, 0.5)
25294267264;(0.6279382109642029, 0.3078361451625824, 0.47902917861938477);(-54.44818115234375, 65.34197235107422, 633.8333740234375);1;(29.4177303314209, 201.15585327148438, 65.16889953613281);(0.5489561557769775, 0.41977277398109436);1;2.61773681640625;1;(0.4762665629386902, 0.30742165446281433, 0.4795786142349243);(13.10504150390625, 66.49909210205078, 636.1890258789062);1;(19.46940803527832, 199.8622589111328, 64.69808197021484);(0.5324004292488098, 0.42384546995162964);1;2.49444580078125;1;632672458057;(0.5, 0.5)
25294278367;(0.6279285550117493, 0.30782565474510193, 0.4790061116218567);(-54.44295120239258, 65.3443603515625, 633.8219604492188);1;(28.601810455322266, 201.1951141357422, 65.1832046508789);(0.5475983023643494, 0.4196490943431854);1;2.606719970703125;1;(0.4762478470802307, 0.3074161112308502, 0.47955164313316345);(13.113093376159668, 66.49959564208984, 636.1752319335938);1;(20.297842025756836, 198.83963012695312, 64.32589721679688);(0.5337790250778198, 0.42706501483917236);1;2.49359130859375;1;632672469175;(0.5, 0.5)
25294289470;(0.6279066801071167, 0.30780330300331116, 0.47895359992980957);(-54.431060791015625, 65.34925842285156, 633.7959594726562);1;(29.495155334472656, 202.14540100097656, 65.52906799316406);(0.5490849614143372, 0.41665714979171753);1;2.6146392822265625;1;(0.4762193560600281, 0.30739402770996094, 0.479501336812973);(13.125221252441406, 66.50442504882812, 636.149169921875);1;(20.763275146484375, 198.8052215576172, 64.31336975097656);(0.534553587436676, 0.4271734356880188);1;2.5132598876953125;1;632672480296;(0.5, 0.5)
25294300573;(0.6278728246688843, 0.30774936079978943, 0.4789271354675293);(-54.41503143310547, 65.36602783203125, 633.7822265625);1;(28.684152603149414, 202.85154724121094, 65.78607177734375);(0.547735333442688, 0.414434015750885);1;2.6056671142578125;1;(0.476186066865921, 0.30739080905914307, 0.4794757068157196);(13.139809608459473, 66.5042953491211, 636.1360473632812);1;(21.91817283630371, 198.93788146972656, 64.36161041259766);(0.5364755988121033, 0.42675578594207764);1;2.5045166015625;1;632672491417;(0.5, 0.5)
25294311676;(0.6278523802757263, 0.3077356219291687, 0.47888562083244324);(-54.40425109863281, 65.3686294555664, 633.761962890625);1;(28.59001350402832, 202.67527770996094, 65.72191619873047);(0.5475786328315735, 0.4149888753890991);1;2.6166229248046875;1;(0.4761693477630615, 0.30738818645477295, 0.47942736744880676);(13.146777153015137, 66.50271606445312, 636.1116943359375);1;(23.579938888549805, 198.64373779296875, 64.2545166015625);(0.5392410159111023, 0.4276818335056305);1;2.4993896484375;1;632672502525;(0.5, 0.5)
25294322779;(0.6278520822525024, 0.30772432684898376, 0.47886157035827637);(-54.403133392333984, 65.37113952636719, 633.7496948242188);1;(29.652673721313477, 203.87399291992188, 66.158203125);(0.5493471622467041, 0.4112149775028229);1;2.6000823974609375;1;(0.4761466383934021, 0.3073926866054535, 0.4794127345085144);(13.156773567199707, 66.50056457519531, 636.1044311523438);1;(23.27288246154785, 198.58331298828125, 64.23252868652344);(0.5387300848960876, 0.4278721213340759);1;2.484130859375;1;632672513634;(0.5, 0.5)
25294333883;(0.6278132796287537, 0.3077344298362732, 0.4787960350513458);(-54.383174896240234, 65.36479187011719, 633.7189331054688);1;(29.335586547851562, 204.20977783203125, 66.28041076660156);(0.5488194227218628, 0.41015779972076416);1;2.59234619140625;1;(0.4760938584804535, 0.30743709206581116, 0.4793400764465332);(13.179817199707031, 66.48226928710938, 636.0692749023438);1;(21.209434509277344, 198.22544860839844, 64.10231018066406);(0.5352961421012878, 0.42899876832962036);1;2.4908447265625;1;632672524743;(0.5, 0.5)
25294344986;(0.6278101801872253, 0.30776217579841614, 0.4786931276321411);(-54.377418518066406, 65.35037994384766, 633.6690063476562);1;(28.92197036743164, 205.44468688964844, 66.72988891601562);(0.5481311678886414, 0.40626975893974304);1;2.5924530029296875;1;(0.47608259320259094, 0.30747702717781067, 0.47922608256340027);(13.183832168579102, 66.46315002441406, 636.013916015625);1;(20.142486572265625, 200.72305297851562, 65.0113754272461);(0.533520519733429, 0.421135276556015);1;2.488250732421875;1;632672535851;(0.5, 0.5)
25294356089;(0.6278025507926941, 0.30778101086616516, 0.47875073552131653);(-54.37648391723633, 65.34716796875, 633.698486328125);1;(28.858007431030273, 202.48497009277344, 65.65264892578125);(0.5480247139930725, 0.4155881702899933);1;2.5924835205078125;1;(0.4760681092739105, 0.30753669142723083, 0.479274183511734);(13.191068649291992, 66.44590759277344, 636.0397338867188);1;(19.058876037597656, 201.2818145751953, 65.21473693847656);(0.5317172408103943, 0.41937610507011414);1;2.482696533203125;1;632672546958;(0.5, 0.5)
25294367192;(0.6278009414672852, 0.30789944529533386, 0.47864124178886414);(-54.370994567871094, 65.30245971679688, 633.6483764648438);1;(28.84199333190918, 202.27992248535156, 65.57801055908203);(0.5479979515075684, 0.4162336587905884);1;2.6052093505859375;1;(0.47605010867118835, 0.30771392583847046, 0.47915467619895935);(13.198637008666992, 66.38096618652344, 635.9862670898438);1;(19.001890182495117, 203.1610107421875, 65.898681640625);(0.5316223502159119, 0.4134596884250641);1;2.477813720703125;1;632672558065;(0.5, 0.5)
25294378295;(0.6277830600738525, 0.30797287821769714, 0.4786418378353119);(-54.363037109375, 65.27838897705078, 633.6517944335938);1;(28.31197738647461, 201.56471252441406, 65.31768798828125);(0.5471158623695374, 0.4184854030609131);1;2.61834716796875;1;(0.476042240858078, 0.30779972672462463, 0.47915345430374146);(13.202510833740234, 66.35247039794922, 635.988525390625);1;(19.320709228515625, 200.89541625976562, 65.0740737915039);(0.5321529507637024, 0.42059269547462463);1;2.4716339111328125;1;632672569173;(0.5, 0.5)
25294389398;(0.6277791857719421, 0.3081209063529968, 0.4785729944705963);(-54.358253479003906, 65.22599029541016, 633.6229248046875);1;(27.249177932739258, 202.92605590820312, 65.81317901611328);(0.5453472137451172, 0.4141993224620819);1;2.6285247802734375;1;(0.4760373532772064, 0.3079190254211426, 0.479092538356781);(13.20458698272705, 66.30975341796875, 635.9623413085938);1;(20.375324249267578, 200.7297821044922, 65.0137939453125);(0.5339080095291138, 0.42111411690711975);1;2.4877777099609375;1;632672580280;(0.5, 0.5)
25294400501;(0.6277702450752258, 0.3082318603992462, 0.47855016589164734);(-54.35323715209961, 65.188232421875, 633.61572265625);1;(26.875333786010742, 201.74473571777344, 65.38322448730469);(0.5447251796722412, 0.4179186224937439);1;2.620269775390625;1;(0.47601962089538574, 0.3080822229385376, 0.4790669083595276);(13.212944984436035, 66.25434875488281, 635.9550170898438);1;(20.644567489624023, 199.366943359375, 64.51775360107422);(0.5343560576438904, 0.42540493607521057);1;2.4860076904296875;1;632672591387;(0.5, 0.5)
